100 2430
80 92 3
80 93 6
80 96 4
80 97 0
80 98 3
81 82 7
81 86 9
81 87 0
81 88 0
81 89 8
81 90 1
81 93 2
81 94 2
81 95 8
81 96 2
81 97 6
81 100 2
82 84 5
82 87 1
82 90 1
82 91 9
82 92 2
82 95 0
82 98 7
82 100 5
83 85 8
83 88 3
83 89 1
83 90 0
83 91 8
83 92 4
83 93 9
83 96 9
83 98 6
83 99 7
84 87 2
84 89 7
84 93 5
84 99 5
84 100 8
85 89 7
85 92 5
85 93 9
85 96 2
85 99 4
85 100 3
86 87 1
86 89 7
86 90 6
86 91 4
86 92 4
86 93 3
87 92 8
87 93 7
87 97 6
87 98 0
88 90 4
88 95 7
88 96 0
88 99 7
89 90 8
89 93 9
89 94 3
89 98 0
89 99 3
89 100 0
90 91 1
90 93 7
90 95 8
90 96 7
90 100 4
91 92 6
91 93 8
91 94 0
91 96 2
91 99 8
92 94 1
92 96 8
92 97 7
92 98 5
92 99 8
92 100 1
93 94 7
93 99 5
94 97 3
94 98 3
94 99 1
95 96 0
95 97 4
95 99 9
95 100 3
96 97 6
96 98 8
96 100 9
97 98 6
97 100 2
98 99 4
98 100 3
99 100 7
